model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.0.4,3,4150,0,0.06,233096,0,0.753,1,0,0,24021,41557
v3.2.4,3,572,0,54.11,852446,0,27.812,1,0,0,2312579,81638
v3.2.3,1,9811,0,0.05,196668,0,0.843,1,0,0,18552,41843
v3.2.4,1,6402,0,0.07,193165,0,0.925,1,0,0,30214,41164
v3.2.4,3,8366,0,14.65,852469,0,19.743,1,0,0,856190,82141
v3.2.4,1,4450,0,0.06,196653,0,0.765,1,0,0,21347,41842
v3.2.3,1,8215,0,0.06,203208,0,0.917,1,0,0,31968,42825
v3.2.4,1,6655,0,0.16,197280,0,1.024,1,0,0,37516,42023
v3.0.4,3,4630,0,0.00,1179,0,0.591,0,0,0,0,826
v3.2.4,3,5950,0,18.65,857573,0,25.423,1,0,0,933064,82584
v3.0.4,3,90,0,0.09,223985,0,0.844,1,0,0,35888,39680
v3.2.3,3,523,0,17.66,668997,0,2.588,1,0,0,1073739,63009
v3.2.4,1,30,0,0.07,196741,0,1.038,1,0,0,45140,41807
v3.2.4,1,4780,0,0.05,197732,0,0.751,1,0,0,13789,42174
v3.0.4,1,5191,0,0.06,189410,0,0.843,1,0,0,25495,40132
v3.2.3,1,4070,0,0.08,195891,0,1.136,1,0,0,33987,41776
v3.2.4,3,5632,0,14.35,843302,0,25.418,1,0,0,626186,82044
v3.2.3,1,8954,0,0.07,196396,0,0.929,1,0,0,32249,41914
v3.0.4,1,5679,0,0.06,188119,0,0.889,1,0,0,28672,39046
v3.2.4,3,6107,0,26.81,843616,0,25.697,1,0,0,1392126,81485
v3.2.3,1,7606,0,0.08,198868,0,0.854,1,0,0,50596,41654
v3.2.4,1,1401,0,0.07,202845,0,0.833,1,0,0,45392,42657
v3.2.4,1,9295,0,0.08,194633,0,1.002,1,0,0,36403,41789
v3.2.3,1,7446,0,0.05,200203,0,0.845,1,0,0,17500,41932
v3.2.3,1,6464,0,0.05,194864,0,0.894,1,0,0,18069,41469
v3.0.4,3,1329,0,0.09,217576,0,1.095,1,0,0,37610,39557
v3.0.4,3,2634,0,0.00,1179,0,0.607,0,0,0,0,826
v3.0.4,3,5281,0,0.05,235228,0,0.831,1,0,0,17078,42127
v3.2.3,1,5408,0,0.08,199392,0,0.958,1,0,0,38553,42724
v3.0.4,1,8260,0,0.06,194405,0,0.659,1,0,0,38121,40242
v3.2.3,1,3988,0,0.08,198403,0,1.074,1,0,0,44663,41759
v3.2.3,1,8034,0,0.06,198719,0,0.834,1,0,0,19735,41694
v3.2.4,3,3001,0,19.98,842776,0,22.796,1,0,0,1080424,82127
v3.2.4,3,970,0,21.45,855893,0,22.587,1,0,0,1377099,82904
v3.2.4,1,5395,0,0.08,196589,0,0.923,1,0,0,43603,41827
v3.0.4,3,5531,0,0.06,231227,0,0.762,1,0,0,16221,41206
v3.0.4,3,7989,0,0.10,226245,0,1.043,1,0,0,37906,40480
v3.2.3,1,7161,0,0.05,197769,0,1.006,1,0,0,18768,41813
v3.2.4,1,9604,0,0.07,198157,0,0.987,1,0,0,15037,41755
v3.2.3,3,4129,0,12.98,679267,0,2.061,1,0,0,750002,64387
v3.2.3,3,9620,0,48.09,671924,0,2.601,1,0,0,2809164,63293
v3.2.3,3,4760,0,51.23,663026,0,3.099,1,0,0,2372643,62246
v3.2.4,3,7506,0,23.64,847064,0,21.971,1,0,0,1271831,81815
v3.0.4,3,9871,0,0.05,230559,0,0.775,1,0,0,16647,40792
v3.2.3,3,1568,0,36.71,664029,0,2.222,1,0,0,2041232,62349
v3.0.4,1,3138,0,0.06,196389,0,0.927,1,0,0,18127,40574
v3.2.3,3,8150,0,18.75,679491,0,2.812,1,0,0,836908,64055
v3.2.3,1,3246,0,0.07,192066,0,0.752,1,0,0,34024,41019
v3.2.3,3,1700,0,2.47,678989,0,2.081,1,0,0,152772,63505
v3.2.4,1,8936,0,0.09,198042,0,1.033,1,0,0,67758,41617
v3.2.4,1,9807,0,0.10,195675,0,1.105,1,0,0,72568,41011
v3.2.4,3,1281,0,0.00,924,0,2.04,0,0,0,0,516
