model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.3,3,81022,0,0.00,924,0,0.732,0,0,0,0,516
v3.2.4,3,876981,0,0.00,822,0,1.462,0,0,0,0,413
v3.2.3,3,269775,0,6.50,677279,0,2.068,1,0,0,348057,63763
v3.2.3,1,380735,0,0.00,1025,0,0.832,0,0,0,0,620
v3.2.4,1,266845,0,0.05,198367,0,0.707,1,0,0,28875,41583
v3.0.4,3,134349,0,0.07,230275,0,0.728,1,0,0,27862,40893
v3.2.3,3,203179,0,1.88,677920,0,2.271,1,0,0,129059,63815
v3.2.3,1,439428,0,0.00,823,0,0.439,0,0,0,0,414
v3.0.4,3,838747,0,0.09,225544,0,0.925,1,0,0,25045,40573
v3.2.4,1,353880,0,0.00,924,0,0.487,0,0,0,0,516
v3.2.3,1,241396,0,0.06,192620,0,0.805,1,0,0,16439,40681
v3.0.4,3,707628,0,0.08,233155,0,0.779,1,0,0,31716,41728
v3.2.4,1,570054,0,0.00,924,0,0.527,0,0,0,0,516
v3.2.3,3,25808,0,20.15,673617,0,2.161,1,0,0,1389752,63331
v3.0.4,1,24246,0,0.00,1078,0,0.658,0,0,0,0,722
v3.2.4,3,124373,0,0.00,1025,0,1.687,0,0,0,0,620
v3.2.3,3,44392,0,0.00,1025,0,0.952,0,0,0,0,620
v3.2.3,1,301304,0,0.00,621,0,0.423,0,0,0,0,208
v3.0.4,1,177001,0,0.41,195894,0,0.87,1,0,0,42520,40600
v3.2.3,1,952597,0,0.00,722,0,0.471,0,0,0,0,310
v3.2.3,1,495613,0,0.05,189264,0,0.85,1,0,0,14248,40408
v3.0.4,3,761629,0,0.05,230398,0,0.772,1,0,0,8919,41498
v3.2.4,3,249151,0,0.00,722,0,1.653,0,0,0,0,310
v3.2.4,3,938194,0,7.41,853632,0,20.931,1,0,0,437711,82312
v3.0.4,3,293581,0,0.07,223346,0,0.884,1,0,0,24016,39569
v3.0.4,3,798615,0,0.00,775,0,0.411,0,0,0,0,414
v3.0.4,1,130035,0,0.00,977,0,0.907,0,0,0,0,620
v3.2.4,1,565582,0,0.05,194079,0,0.89,1,0,0,10627,41939
v3.2.4,3,535740,0,0.91,855558,0,21.874,1,0,0,93812,82880
v3.2.3,3,576927,0,16.88,674663,0,2.264,1,0,0,915316,64279
v3.0.4,1,400607,0,0.06,191374,0,0.83,1,0,0,33856,39642
v3.0.4,1,865584,0,0.06,183565,0,0.882,1,0,0,17266,39184
v3.2.3,1,556111,0,0.00,722,0,0.718,0,0,0,0,310
v3.2.4,1,721878,0,0.05,192261,0,0.735,1,0,0,29976,40955
v3.0.4,1,404938,0,0.05,193144,0,0.701,1,0,0,21034,39796
v3.0.4,3,50497,0,0.00,977,0,0.435,0,0,0,0,620
v3.0.4,3,188398,0,0.05,229588,0,0.764,1,0,0,10695,40854
v3.2.4,3,815554,0,8.21,849569,0,22.413,1,0,0,437531,81430
v3.2.3,3,25276,0,52.11,671389,0,2.299,1,0,0,3173783,63371
v3.2.4,1,131206,0,0.06,195276,0,0.762,1,0,0,36963,40906
v3.2.3,3,634394,0,37.93,663848,0,2.037,1,0,0,2715632,62854
v3.0.4,1,655119,0,0.06,193677,0,1.041,1,0,0,15829,40145
v3.0.4,1,811243,0,0.00,775,0,0.486,0,0,0,0,414
v3.0.4,3,380046,0,0.00,876,0,0.585,0,0,0,0,516
v3.0.4,1,371315,0,0.00,876,0,0.598,0,0,0,0,516
v3.0.4,3,980245,0,0.06,231862,0,0.68,1,0,0,35884,41741
v3.0.4,3,563391,0,0.04,233273,0,1.059,0,0,0,2715,41163
v3.0.4,3,174732,0,0.00,1280,0,0.688,0,0,0,0,928
v3.2.3,1,287231,0,0.00,1025,0,0.97,0,0,0,0,620
v3.2.3,1,277996,0,0.00,1328,0,0.454,0,0,0,0,928
v3.2.4,3,348226,0,0.00,1025,0,1.501,0,0,0,0,620
v3.0.4,1,543945,0,0.00,876,0,0.513,0,0,0,0,516
v3.2.4,1,607441,0,0.07,200222,0,0.792,1,0,0,43069,42208
v3.0.4,1,812654,0,0.05,185154,0,0.871,1,0,0,18249,38921
v3.2.3,3,761629,0,28.61,675954,0,2.171,1,0,0,1946813,64144
v3.0.4,3,375529,0,0.09,229253,0,0.915,1,0,0,50175,40883
v3.2.4,1,284012,0,0.05,199035,0,0.766,1,0,0,11039,41933
v3.2.4,1,124912,0,0.00,1025,0,0.654,0,0,0,0,620
v3.0.4,1,970008,0,0.00,876,0,0.641,0,0,0,0,516
v3.2.4,1,462950,0,0.05,190297,0,0.767,1,0,0,17131,41101
v3.2.3,1,265147,0,0.05,201466,0,0.699,1,0,0,29473,42318
v3.0.4,1,842565,0,0.00,1280,0,0.506,0,0,0,0,928
v3.2.4,1,368077,0,0.06,199185,0,0.708,1,0,0,41207,41828
v3.0.4,1,719999,0,0.00,876,0,0.453,0,0,0,0,516
v3.0.4,1,462950,0,0.05,184753,0,0.83,1,0,0,16078,39229
v3.2.4,3,581340,0,0.37,854051,0,24.841,1,0,0,31352,82434
v3.2.4,1,65120,0,0.00,823,0,0.897,0,0,0,0,414
v3.2.3,3,220198,0,0.00,924,0,0.805,0,0,0,0,516
v3.2.4,1,81022,0,0.00,924,0,0.573,0,0,0,0,516
v3.0.4,1,443941,0,0.06,189192,0,1.142,1,0,0,34251,39676
v3.0.4,3,986066,0,0.00,674,0,0.423,0,0,0,0,310
v3.0.4,3,146422,0,0.00,876,0,0.626,0,0,0,0,518
v3.2.3,1,368077,0,0.06,199185,0,0.721,1,0,0,41207,41828
v3.2.4,3,790328,0,2.02,854326,0,21.055,1,0,0,188126,82753
v3.2.3,3,569912,0,13.60,668667,0,2.158,1,0,0,1039346,63279
v3.2.4,1,873514,0,0.00,1126,0,0.619,0,0,0,0,722
v3.0.4,3,580341,0,0.00,472,0,0.49,0,0,0,0,104
v3.0.4,3,476988,0,0.07,228843,0,1.003,1,0,0,26918,40758
v3.2.3,1,529138,0,0.05,193957,0,0.726,1,0,0,14206,41374
v3.0.4,1,274324,0,0.00,674,0,0.443,0,0,0,0,310
v3.2.3,3,322432,0,19.45,674705,0,1.99,1,0,0,1435508,63740
v3.2.4,3,277562,0,20.58,854468,0,22.084,1,0,0,1610517,82268
v3.2.3,1,462697,0,0.00,1025,0,0.938,0,0,0,0,620
v3.0.4,3,632132,0,0.05,230021,0,0.783,1,0,0,9288,40953
v3.2.3,1,989463,0,0.08,190248,0,0.771,1,0,0,52727,40523
v3.0.4,1,613858,0,0.04,188626,0,0.793,1,0,0,16193,39496
v3.0.4,3,121927,0,0.08,222421,0,1.086,1,0,0,26188,39741
v3.2.4,1,521383,0,0.06,193752,0,0.791,1,0,0,37300,41348
v3.2.3,1,558472,0,0.06,194586,0,0.832,1,0,0,19761,40990
v3.2.4,1,666993,0,0.07,193041,0,1.057,1,0,0,26029,40846
v3.0.4,3,100768,0,0.00,1280,0,0.478,0,0,0,0,928
v3.2.4,3,112830,0,0.00,924,0,1.903,0,0,0,0,518
v3.2.4,1,333218,0,0.00,924,0,0.674,0,0,0,0,516
v3.2.4,1,521777,0,0.07,196590,0,0.752,1,0,0,42219,41327
v3.2.4,3,324531,0,0.00,722,0,1.617,0,0,0,0,310
v3.2.3,3,550811,0,9.34,675429,0,1.796,1,0,0,627944,63290
v3.2.4,1,77136,0,0.06,198281,0,0.728,1,0,0,34690,41753
v3.0.4,3,11680,0,0.00,976,0,0.489,0,0,0,0,619
v3.2.4,1,177001,0,0.92,201438,0,0.739,1,0,0,120598,42472
v3.2.3,1,885021,0,0.05,199690,0,0.717,1,0,0,26268,42589
v3.2.4,3,633465,0,0.00,1025,0,1.878,0,0,0,0,620
v3.0.4,3,719941,0,0.06,225621,0,0.739,1,0,0,28982,40734
