model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.4,1,188365,0,0.07,198886,0,0.79,1,0,0,46192,41976
v3.0.4,1,353327,0,0.05,188619,0,0.835,1,0,0,13645,39696
v3.0.4,3,387400,0,0.08,231785,0,0.882,1,0,0,42210,41672
v3.0.4,1,814509,0,0.00,977,0,0.53,0,0,0,0,620
v3.2.4,1,69558,0,0.05,195517,0,0.823,1,0,0,19140,41152
v3.0.4,1,906422,0,0.00,674,0,0.629,0,0,0,0,310
v3.0.4,3,497160,0,0.09,229438,0,1.111,1,0,0,48348,40958
v3.2.4,1,193601,0,0.07,194308,0,0.951,1,0,0,34081,41338
v3.2.4,3,388220,0,0.00,1126,0,1.66,0,0,0,0,722
v3.2.4,3,728423,0,12.65,855504,0,19.534,1,0,0,953825,82850
v3.0.4,1,941932,0,0.00,1078,0,0.516,0,0,0,0,722
v3.2.4,1,281468,0,0.00,1328,0,0.617,0,0,0,0,928
v3.0.4,1,749454,0,0.05,189820,0,0.683,1,0,0,13629,39717
v3.2.3,1,248116,0,0.00,823,0,0.807,0,0,0,0,414
v3.0.4,3,960523,0,0.07,232693,0,0.769,1,0,0,29143,41298
v3.2.4,3,179677,0,0.00,520,0,1.677,0,0,0,0,104
v3.2.4,1,390511,0,0.07,198126,0,0.76,1,0,0,55653,41813
v3.0.4,1,32120,0,0.00,1179,0,0.488,0,0,0,0,826
v3.2.4,1,553211,0,0.00,1126,0,0.643,0,0,0,0,722
v3.2.3,1,407270,0,0.06,188895,0,0.764,1,0,0,31309,40537
v3.2.4,1,656526,0,0.00,924,0,0.611,0,0,0,0,516
v3.2.3,3,561305,0,24.74,672552,0,2.505,1,0,0,2050329,63676
v3.2.3,1,417134,0,0.08,199750,0,0.82,1,0,0,35187,42024
v3.0.4,1,22816,0,0.00,1280,0,0.612,0,0,0,0,928
v3.0.4,3,487183,0,0.07,226703,0,0.961,1,0,0,13255,40746
v3.2.3,1,352476,0,0.00,1126,0,0.714,0,0,0,0,722
v3.0.4,1,143140,0,0.05,187953,0,0.852,1,0,0,9414,38964
v3.2.3,1,771761,0,0.00,1126,0,0.523,0,0,0,0,722
v3.2.3,3,333112,0,17.11,682054,0,2.02,1,0,0,1286600,64418
v3.2.4,1,675850,0,0.05,194240,0,0.992,1,0,0,17388,41491
v3.2.3,1,354923,0,0.00,1025,0,0.622,0,0,0,0,620
v3.2.3,1,783269,0,0.00,924,0,0.481,0,0,0,0,516
v3.2.3,1,742691,0,0.07,194241,0,0.798,1,0,0,46155,41496
v3.2.4,1,129405,0,0.06,199045,0,0.83,1,0,0,29407,42403
v3.2.3,3,237537,0,0.00,1327,0,0.782,0,0,0,0,927
v3.2.4,1,112420,0,0.05,197018,0,0.827,0,0,0,13216,41577
v3.0.4,1,336280,0,0.05,186307,0,0.829,1,0,0,33337,39227
v3.2.4,3,466956,0,1.63,855717,0,21.64,1,0,0,111294,82552
v3.0.4,3,514254,0,0.00,976,0,0.78,0,0,0,0,619
v3.2.4,1,874924,0,0.10,191465,0,1.04,1,0,0,52332,40848
v3.0.4,1,407252,0,0.07,193678,0,1.033,1,0,0,13334,40004
v3.2.3,3,400208,0,8.07,664583,0,2.131,1,0,0,634077,62118
v3.2.4,1,900577,0,0.00,924,0,0.663,0,0,0,0,516
